Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
S19S_0006-D,-76.717163,39.311369,-1060.8699231846454,335.6580089666293,1117.2027315401804,6.067764316101409,0.44018421361525684,0.5389047377320659,0.23721735819212567
S19S_0006-M,-76.717316,39.31162,-179.8347698737043,139.89365344195616,1074.7306074783285,4.865851656050096,0.18345749597839878,0.43215760763622096,0.07928255256495645
S19S_0006-U,-76.717476,39.311813,-261.11270615561136,139.23153867929537,1074.644622998879,5.336179988682828,0.1825891941403995,0.4739295278264655,0.08653441056517439
S19S_0008-M,-119.028281,36.961369,-93.00521019439256,147.43723358998565,1075.7385287448185,5.8201981002278895,0.1933501986894911,0.5169172972702453,0.09994606213323666
S19S_0009-U,-108.3982,42.9875,-122.0879820222446,144.17033101841884,1075.2956471237846,5.135154690746876,0.18906596026523895,0.4560755902280306,0.08622836941999824
S19S_0010-D,-81.840062,31.667875,-33.18033912798243,156.2538676914928,1076.9823190498298,5.323709066807605,0.20491239308089979,0.47282193060740246,0.09688707330189397
S19S_0010-M,-81.839976,31.667835,2.057541833181272,162.61764045290948,1077.9239960979949,5.859587731288075,0.21325788829858994,0.5204156630092578,0.11098274533086493
S19S_0010-U,-81.8403,31.667905,-141.15006404607766,142.42380157895008,1075.062874269965,5.042086869607178,0.18677554958731324,0.4478098292113258,0.08363992696154625
S19S_0011-D,-83.437674,33.955686,-560.0028221894406,184.50431940495497,1081.4423185063938,6.719132451745749,0.24196022909127918,0.5967555961404846,0.1443911207536545
S19S_0011-M,-83.438589,33.957827,-1028.17856375871,324.7596236576998,1113.9768657991465,6.139916940780143,0.4258919964217617,0.5453129285011095,0.2322444117939349
S19S_0011-U,-83.437673,33.95569,-555.3146636951358,183.37338907877609,1081.2499452946274,6.26226497498329,0.24047711930994162,0.5561791935452738,0.1337483702838939
S19S_0012-D,-72.33027,42.47179,-51.94655226826388,153.20369802290244,1076.5440155726524,5.465050068799947,0.20091237967113476,0.48537504434772155,0.09751785519288331
S19S_0012-M,-72.33038,42.47157,-48.54267351464339,153.7384886139422,1076.6202521124603,7.8630229681762165,0.2016137077177689,0.6983495254095158,0.14079683710075674
S19S_0014-D,-77.9808,39.0941,-898.7388908169418,282.49458630047855,1102.3968594233552,6.186650347430441,0.37046533673983073,0.5494635271305544,0.20355719060467595
S19S_0014-M,-77.9812,39.0942,-1875.5112466086216,620.6330060389378,1233.1508312296296,5.567295483770359,0.8139023780424176,0.49445590768856057,0.4024388391048416
S19S_0014-U,-77.9815,39.0944,-244.0480892642877,138.839225046758,1074.5938650434323,7.228986554750201,0.18207471135370643,0.6420379731985587,0.11689887864824627
S19S_0015-D,-84.439009,31.184396,-250.92177081787943,138.9633702880611,1074.6099118560255,5.896813755168068,0.18223751627406368,0.5237218693137151,0.09544177268214121
S19S_0015-U,-84.437254,31.185895,-172.78141205514305,140.25106424204048,1074.7771887225852,5.937763347273801,0.18392620695138306,0.5273587820289002,0.0969951004810768
S19S_0017-D,-96.44355,38.94668,-265.2350288657324,139.3684416070667,1074.662368790022,3.3160530752015642,0.18276872957823453,0.29451320448538715,0.053827804227809015
S19S_0017-M,-96.44379,38.94667,-44.63957589932454,154.3619007380753,1076.7094504911108,3.229669415300804,0.20243125465032855,0.28684109311817013,0.0580656023651829
S19S_0017-U,-96.44389,38.94684,-353.9521662019641,146.13709326907727,1075.561106774754,3.1168322202964944,0.1916451857612715,0.2768195273795573,0.05305112974700264
S19S_0018-D,-83.504941,35.6922935,-175.4128946497804,140.1122229696358,1074.759079702466,2.507894383059379,0.18374412955511016,0.2227370897013839,0.04092663266681928
S19S_0018-M,-83.5044488,35.692083,-46.92963249807843,153.99481462233268,1076.6568846703044,2.337490728459455,0.20194985540207375,0.20760279443103624,0.04192535431641421
S19S_0018-U,-83.5041467,35.6918387,-71.62625177304395,150.27855798760595,1076.1316319894293,1.6628225325042387,0.1970763309794454,0.14768255556602108,0.02910473620061951
S19S_0019-D,-84.278999,35.9563807,43.683665463584575,171.0948034690492,1079.235412758269,2.706551912325375,0.22437489798185592,0.24038073538872612,0.053935402979648925
S19S_0019-M,-84.2789099,35.956601,-247.3565729679005,138.8932624192207,1074.6008480933062,3.88950158555785,0.18214557633433523,0.34544367952976973,0.0629210380990033
S19S_0019-U,-84.2786976,35.9572803,-218.01043593015748,138.78525530527008,1074.5868934002256,3.2176798589459374,0.1820039350648015,0.2857762480803038,0.05201240169867021
S19S_0020-D,-88.15755,31.85294,-230.50751474298775,138.72887147843403,1074.5796127598358,6.4237725969390835,0.18192999292782447,0.5705233931742631,0.10379531688535211
S19S_0020-M,-88.1575,31.85302,-929.90378368545,292.52227057920265,1105.0090149687517,7.525047543645067,0.38361571063438327,0.6683324469555083,0.2563828265788536
S19S_0020-U,-88.15748,31.8531,-577.3908610651063,188.7769306641848,1082.1794555102167,5.4532457383190955,0.24756336078182897,0.4843266500313825,0.11990153319797375
S19S_0021-D,-87.79835,32.54069,-1804.785153508242,595.3355524347643,1220.614625657994,6.158701776064802,0.7807271239929049,0.546981292037504,0.42704313101036373
S19S_0021-M,-87.79828,32.54082,-485.97729340957096,167.8252066380244,1078.7219031615582,6.037962282062648,0.2200871262872837,0.53625788849718,0.11802345762823095
S19S_0021-U,-87.79821,32.54108,-410.9845994118605,154.01385249524043,1076.6596078324033,6.414703125475206,0.20197482179909373,0.5697178936713178,0.11506867005001943
