Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
S19S_0006-D,-76.717163,39.311369,-102.25822919205848,186.49245038952355,1290.4212735619028,1.1721916080730919,0.20271225756930314,0.20291921129458879,0.04113421142570853
S19S_0006-M,-76.717316,39.31162,-61.23437563436445,191.8225289074216,1291.202351223569,1.5638396742159295,0.20850590898590468,0.27071778290985327,0.056446257404267765
S19S_0006-U,-76.717476,39.311813,-123.63819168718022,183.9836955612359,1290.061095235882,1.0599718499311535,0.19998530881685836,0.1834927415459573,0.03669585258372025
S19S_0008-M,-119.028281,36.961369,-162.12745474222294,179.96266236254547,1289.493772398087,1.8807054239642904,0.1956145543130426,0.32557071615248456,0.06368637053754636
S19S_0009-M,-108.3983,42.9876,-155.03545831570435,180.65420422324087,1289.5904662769365,1.496571555490452,0.19636624164136304,0.2590729344882857,0.05087317845646373
S19S_0009-U,-108.3982,42.9875,-182.5885932078323,178.09657595192212,1289.234664277467,1.628667571727314,0.19358616877611198,0.281940202301271,0.054579723587465
S19S_0010-D,-81.840062,31.667875,-113.90491453925974,185.10215406670687,1290.2210805319253,1.135406283929637,0.20120104300967986,0.19655126862122665,0.039546320251466566
S19S_0010-M,-81.839976,31.667835,-136.69172899054152,182.54712360093444,1289.8570004243916,0.5340566131900518,0.19842379388890702,0.09245105150797768,0.01834448838923169
S19S_0010-U,-81.8403,31.667905,-174.76053188276433,178.78763188349677,1289.3303093169502,1.1113672414214872,0.19433732791260014,0.19238984696248476,0.037388528776203356
S19S_0011-D,-83.437674,33.955686,-589.4098824071979,185.0883128397852,1290.2190948667255,2.72549661695984,0.20118599796978168,0.47181332820553257,0.09492223529047421
S19S_0011-M,-83.438589,33.957827,-2569.6035987729606,690.5895237914324,1451.6616408720429,2.554297080732303,0.7506521638225813,0.44217681261709735,0.3319209811831962
S19S_0011-U,-83.437673,33.95569,-232.6498795273104,174.37030521259322,1288.7251966764547,2.7191430567226855,0.1895358131059168,0.470713457311255,0.08921705787138598
S19S_0012-D,-72.33027,42.47179,-75.01738263207838,189.95848398527207,1290.926742633685,0.9969951291470557,0.2064797424918172,0.17259078112974535,0.0356365000441314
S19S_0012-M,-72.33038,42.47157,-134.34391224281973,182.80008039291835,1289.8928244627502,0.4144921521140159,0.19869875109099988,0.07175313320407961,0.014257257954516774
S19S_0013-D,-78.1476,38.8952,-849.1598731631134,227.2461817088247,1296.938108126241,2.5332421052440925,0.24701046300793167,0.4385319656565242,0.10832198388059643
S19S_0013-M,-78.1474,38.8945,-2267.0642674717583,602.5600979505418,1411.90874381137,2.292035634295258,0.6549665550622015,0.39677648258789205,0.2598753259302892
S19S_0013-U,-78.1474,38.8944,-2293.9259371602006,610.3373471766239,1415.245316744568,2.242202878468964,0.6634202149557002,0.3881498865269204,0.2575064811547202
