,target,predicted
0,-4.97,-47.942751493507956
1,-2.08,-48.13429951950432
2,-3.97,-128.8088205043445
3,-43.22,-218.5774410754155
4,-3.21,-133.956521115373
5,-17.33,-225.1826665214245
6,-20.06,-255.76740918011654
7,-240.66,-470.64696976337905
8,-31.19,-260.14554439899257
9,-19.26,-269.0133101619967
10,-35.1,-229.34254973998665
11,-3.99,-54.18820658776094
12,-2086.43,-2407.1323263443824
13,-0.87,-66.65404755417998
14,-50.95,-273.4235523579093
15,-15.94,-140.90150239203842
16,-1821.88,-2316.415355132711
17,-1.78,-44.95973605844631
18,-3.91,-48.07881585029352
19,-61.3,-166.9071128258281
20,-1906.69,-2196.8633312619263
21,-24.54,-209.55397642272908
22,-3.94,-53.44845148539024
23,-2260.74,-2613.2301540893322
24,-4.28,-90.1627251255505
25,-13.09,-268.2256261668469
26,-1.72,-65.0809867397908
27,-16.99,-171.54839219023705
28,-7.46,-63.2112645567343
29,-16.41,-78.82042406655827
30,-1.84,-50.58521038559345
31,-0.77,-59.300117170083226
32,-4.29,-151.5297782521352
33,-2260.74,-2610.089389287439
34,-64.33,-438.6283830701146
35,-4.81,-141.80821673435744
36,-17.66,-124.0086470304673
37,-79.25,-433.43730043608826
38,-4.84,-64.54834328608254
39,-22.89,-148.4345651272181
40,-2741.44,-3224.765257593247
41,-1.68,-56.83379241512664
42,-1.15,-44.56213187561745
43,-2785.54,-2991.9798176191716
44,-3.32,-48.98053165193085
45,-1175.43,-1430.8725740071695
46,-11.18,-150.54009545483362
47,-21.63,-84.9505426679786
48,-48.59,-127.77590776692267
49,-1.29,-50.72663329748227
50,-15.42,-90.13011399831659
51,-17.53,-222.11870260901537
52,-1841.16,-2322.650411902131
53,-40.96,-190.61994643477965
54,-48.64,-153.09609925101688
55,-77.62,-300.8460425017181
56,-1.67,-97.97022222845072
57,-74.17,-391.51491751064526
58,-29.33,-420.80450976641885
59,-33.64,-281.3434886862595
60,-15.34,-182.43854125144853
61,-1.3,-52.92234823595488
62,-12.66,-79.90317990012868
63,-9.45,-74.08704402138885
64,-19.4,-544.9542017657374
65,-0.99,-42.519124614863145
66,-97.9,-483.9157055780536
67,-991.01,-1188.9071102353582
68,-7.06,-117.54347130039595
69,-5.57,-146.14147065159426
70,-2420.08,-2634.2309293614153
71,-5.14,-75.42926380324903
72,-1531.16,-1883.9244091131916
73,-11.52,-81.38774980197955
74,-47.48,-195.58812543561257
75,-2.41,-63.402339898655946
76,-3.14,-110.23786777336154
77,-0.37,-74.19609514162468
78,-19.2,-150.52671933217954
79,-0.75,-46.9182029689183
80,-1806.3,-2359.6354741643063
81,-15.32,-76.19874972408695
82,-35.76,-290.0945187518331
83,-2727.43,-2891.6937203001507
84,-1.29,-116.71042148120854
85,-11.67,-116.23855224982609
86,-5.69,-148.16661022776623
87,-50.32,-288.62202158312783
88,-1.4,-42.65060821326284
89,-2.71,-94.84706001036353
90,-5.17,-60.8010139535429
91,-16.74,-94.18566399369381
92,-11.12,-291.526743793715
93,-2.02,-97.82966476043092
94,-1739.12,-2186.2046941562494
95,-47.16,-284.16678505616255
96,-2260.74,-2613.2301540893322
97,-43.06,-140.99322873373336
98,-19.87,-153.68841130672627
99,-8.0,-66.09505579898324
100,-6.06,-59.185781023662784
101,-29.12,-316.91422705254877
102,-21.22,-111.57698378511931
103,-1953.6,-2451.5447687160176
104,-988.01,-1623.218654078239
105,-24.29,-140.97415433012358
106,-10.64,-73.16808506420897
107,-34.83,-375.8845223957534
108,-2.85,-113.28254578845873
109,-5.77,-97.40251871758522
110,-7.46,-63.2112645567343
111,-2.46,-63.161188375885175
112,-1918.37,-2420.5731239346915
113,-21.96,-130.79841752738918
114,-9.4,-112.34457004232468
115,-8.65,-87.53377891652138
