Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
S19S_0006-D,-76.717163,39.311369,-1240.5802212217563,307.3524539979197,950.3755812428462,6.067764316101406,0.45573696658674473,0.538904737732066,0.245598810453237
S19S_0006-M,-76.717316,39.31162,-162.57389004533,117.43450162956,906.9394007413712,4.865851656050094,0.1741298722334068,0.43215760763622113,0.07525154900238994
S19S_0006-U,-76.717476,39.311813,-284.7378454291598,119.53683346501757,907.2140149925916,5.336179988682825,0.17724717395326442,0.4739295278264657,0.08400266946024604
S19S_0008-M,-119.028281,36.961369,-112.32248283682412,119.27832397349464,907.1799893152738,5.820198100227885,0.1768638604967812,0.5169172972702453,0.09142398875277784
S19S_0009-U,-108.3982,42.9875,-177.4502743322077,117.1894916539135,906.907708313386,5.135154690746873,0.1737665756283783,0.45607559022803074,0.07925069354161637
S19S_0010-D,-81.840062,31.667875,-108.58324613344672,119.4769456760324,907.206125967086,5.323709066807601,0.17715837336315146,0.4728219306074025,0.0837643641168323
S19S_0010-M,-81.839976,31.667835,-131.73015560298413,118.38260300469916,907.0626522673628,5.85958773128807,0.17553570075080516,0.5204156630092579,0.09135152808802495
S19S_0010-U,-81.8403,31.667905,-153.0498973564836,117.6642169554878,906.9691738950572,5.042086869607174,0.17447049019319552,0.44780982921132584,0.07812960041583118
S19S_0011-D,-83.437674,33.955686,-574.5731086693311,155.9192565601106,912.7206741442816,6.719132451745748,0.2311944091965706,0.5967555961404848,0.13796655748444667
S19S_0011-M,-83.438589,33.957827,-1640.8748224110825,410.1569157280291,988.4214232621954,6.1399169407801395,0.6081736656631095,0.5453129285011096,0.3316449626600049
S19S_0011-U,-83.437673,33.95569,-329.2371574864256,122.5542531902017,907.616526633987,6.262264974983288,0.18172135235850254,0.5561791935452741,0.10106963520470853
S19S_0012-D,-72.33027,42.47179,-99.93593779602082,119.96806702788692,907.2709361323892,5.465050068799942,0.1778865997111398,0.48537504434772155,0.08634171622365987
S19S_0012-M,-72.33038,42.47157,-134.1236362808139,118.28799610341704,907.0503097768592,7.86302296817621,0.17539541925427682,0.6983495254095158,0.12248730779522726
S19S_0014-D,-77.9808,39.0941,-1894.246287278109,476.6324686296463,1017.8048558521056,6.186650347430439,0.7067424795362037,0.5494635271305546,0.3883292155789563
S19S_0014-M,-77.9812,39.0942,-794.0397518025445,200.43413541928413,921.3696636450596,5.567295483770359,0.297200310875148,0.49445590768856096,0.14695244947909378
S19S_0014-U,-77.9815,39.0944,-527.1755038948285,147.72026546855804,911.3558532616312,7.2289865547501995,0.2190370853147148,0.642037973198559,0.14063012631077934
S19S_0015-D,-84.439009,31.184396,-248.34787239191715,117.9389256607183,907.0048536971228,5.896813755168065,0.17487782356694356,0.5237218693137152,0.09158734065999377
S19S_0015-U,-84.437254,31.185895,-202.3503483555155,117.09175060649248,906.8950835153024,5.9377633472737985,0.17362164687351314,0.5273587820289003,0.09156090022906771
S19S_0017-D,-96.44355,38.94668,-494.3502155491909,142.45028466212895,910.5165006986178,3.3160530752015625,0.21122284783116238,0.2945132044853872,0.06220791777528495
S19S_0017-M,-96.44379,38.94667,-335.33305704628805,123.05464532208386,907.6842293327996,3.2296694153008025,0.18246332526069184,0.28684109311817024,0.05233797967175309
S19S_0017-U,-96.44389,38.94684,-409.8033452470861,130.72110828233724,908.7553150296824,3.116832220296493,0.19383102552957976,0.2768195273795574,0.05365621287859319
S19S_0018-D,-83.504941,35.6922935,-123.15016653582734,118.7504743251833,907.1107372292482,2.507894383059376,0.17608117405843926,0.22273708970138378,0.03921980826097956
S19S_0018-M,-83.5044488,35.692083,-119.61575021494704,118.91501141248844,907.1322915558494,2.337490728459454,0.1763251468397985,0.20760279443103632,0.03660559321240498
S19S_0018-U,-83.5041467,35.6918387,-150.2327404189821,117.74300978354012,906.9793993233924,1.6628225325042387,0.17458732285217793,0.14768255556602122,0.025783502008239655
S19S_0019-D,-84.278999,35.9563807,-166.23107797048175,117.36137645130884,906.929935070334,2.7065519123253754,0.17402144346869772,0.24038073538872634,0.04183140255441323
