,target,predicted
0,-1.38,-132.58515287995
1,-2.85,-127.73473298840952
2,-24.5,-125.19076896894123
3,-81.84,-194.13948490739202
4,-8.88,-53.6927924642541
5,-82.36,-127.11916275748732
6,-991.01,-339.8646841231926
7,-3800.03,-2853.4037366416132
8,-3.91,-74.54866406411855
9,-10.88,-45.999209050777225
10,-0.75,-72.16222816711841
11,-4.12,-43.275696918941996
12,-7.38,-207.52778382401195
13,-7.46,-69.07098552446388
14,-10.64,-69.07098552446388
15,-2086.43,-355.3503834868046
16,-23.47,-85.63908586562461
17,-1175.43,-540.0034876143851
18,-3631.26,-3467.6246443451078
19,-2738.74,-2250.376048884724
20,-5.14,-70.47569825581805
21,-15.66,-83.9116235675696
22,-9.4,-132.58515287995
23,-11.52,-98.64463546715176
24,-11.55,-45.999209050777225
25,-3.97,-170.80506506977594
26,-1011.81,-1717.0293963894478
27,-11.67,-77.03230186984989
28,-10.57,-182.53378510706742
29,-3564.45,-2514.052309317739
30,-24.54,-244.48317432676316
31,-1.55,-43.883262965890395
32,-15.34,-110.36849106277569
33,-5.0,-70.47569825581805
34,-61.3,-269.3924037442768
35,-1713.76,-1715.4838707263418
36,-5.14,-42.613974538269005
37,-43.06,-83.9116235675696
38,-54.98,-160.61713194208494
39,-4.1,-38.77851597140835
40,-16.87,-217.92134263649015
41,-6.33,-40.73990456095616
42,-240.66,-364.7947457187118
43,-1.54,-39.64574162790844
44,-13.61,-84.71544938518258
45,-11.12,-135.42288353534335
46,-9.01,-57.89438892361369
47,-1.84,-36.17615956813955
48,-37.43,-186.5031905528578
49,-1.77,-62.06140589595463
50,-1.09,-43.685187543953646
51,-15.13,-138.89742505167223
52,-3.73,-63.24535272026825
53,-2.71,-355.3503834868046
54,-21.22,-75.88857889984156
55,-47.16,-455.42228100800173
56,-3.26,-37.47582044432758
57,-1599.21,-2514.052309317739
58,-2785.54,-1717.0293963894478
59,-15.42,-77.03230186984989
60,-35.91,-84.71544938518258
61,-4.78,-73.50880643671424
62,-9.45,-161.4147937340424
63,-42.76,-104.32226281139353
64,-8.59,-40.73990456095616
65,-41.22,-79.58266260749092
66,-2741.44,-2098.1777593421975
67,-2420.08,-364.7947457187118
68,-1.45,-64.3928465192909
69,-5.81,-207.52778382401195
70,-4.02,-38.77851597140835
71,-48.59,-116.20733370641982
72,-3.01,-42.144268653895566
73,-15.32,-69.07098552446388
74,-5.13,-79.76515288120042
75,-13.09,-241.0442363935806
76,-8.33,-122.99670440905629
77,-29.33,-261.85601520466616
78,-6.06,-39.64574162790844
79,-24.29,-269.3924037442768
80,-4.62,-64.3928465192909
81,-64.33,-241.21603796816532
82,-9.74,-79.5777071057895
83,-37.03,-194.13948490739202
84,-13.24,-79.5777071057895
85,-4.97,-74.54866406411855
86,-139.47,-183.6557289685378
87,-82.62,-116.20733370641982
88,-14.69,-132.91000748565978
89,-16.41,-65.96698157619642
90,-3.7,-37.47582044432758
91,-5.64,-52.95067491334642
92,-4.81,-203.08954958998476
93,-44.74,-160.61713194208494
94,-2084.19,-1715.4838707263418
95,-1.68,-70.13367252555597
96,-8.92,-195.09953670552642
97,-75.22,-143.365698619079
98,-4.03,-39.62363624353267
99,-3.07,-149.23849724264255
100,-1515.51,-428.7820271832442
101,-4.29,-191.03398206957462
102,-1806.3,-2098.1777593421975
