RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav
0.058,0.008,0.172,1,0.0896727,2.36,0.522458,76,0,651,462,65,24,92,226,92,218,28,218,193,34,193,-79,160,-79,4,33,4,28,28,7,7,74,74,9,9,0,0,0,0,0,0,16,16,35,35,49,49,18,18,22,27,22,0,0,664,663,5.824,5.824,237.74,237.775,30,30,4843,4800,2414,2414,264,264,0.055867,332.375,948
2.011,0.386,4.909,3,0.560784,11.1,3.99622,119,0,571,490,52,111,87,219,62,268,38,684,233,40,401,-74,169,-24,9,53,21,26,36,31,13,40,73,35,12,0,0,0,0,10,1,19,16,40,43,42,41,24,50,27,35,56,0,0,655,3013,1.347,5.558,60.808,18.504,2,0,3733,1000,1872,226,264,96,0.055867,275.042,948
2.011,0.386,4.909,3,0.560784,11.1,3.99622,119,0,571,490,52,111,87,219,62,268,38,684,233,40,401,-74,169,-24,9,53,21,26,36,31,13,40,73,35,12,0,0,0,0,10,1,19,16,40,43,42,41,24,50,27,35,56,0,0,655,3013,1.347,5.558,60.808,18.504,2,0,3733,1000,1872,226,264,96,0.055867,275.042,948
2.011,0.386,4.909,3,0.560784,11.1,3.99622,119,0,571,490,52,111,87,219,62,268,38,684,233,40,401,-74,169,-24,9,53,21,26,36,31,13,40,73,35,12,0,0,0,0,10,1,19,16,40,43,42,41,24,50,27,35,56,0,0,655,3013,1.347,5.558,60.808,18.504,2,0,3733,1000,1872,226,264,96,0.055867,275.042,948
0.669,0.147,1.42,2,0.276592,2.4,1.39333,481,0,613,1152,151,605,50,185,35,1199,188,1619,521,79,521,34,181,56,35,89,40,91,98,0,0,59,33,0,0,0,0,0,0,0,57,6,7,40,42,54,51,102,115,78,58,86,0,0,5532,5128,0.001,0.003,0.19,0.069,0,0,417,100,48,18,62,43,0.055867,0.002247,948
0.669,0.147,1.42,2,0.276592,2.4,1.39333,481,0,613,1152,151,605,50,185,35,1199,188,1619,521,79,521,34,181,56,35,89,40,91,98,0,0,59,33,0,0,0,0,0,0,0,57,6,7,40,42,54,51,102,115,78,58,86,0,0,5532,5128,0.001,0.003,0.19,0.069,0,0,417,100,48,18,62,43,0.055867,0.002247,948
0.669,0.147,1.42,2,0.276592,2.4,1.39333,481,0,613,1152,151,605,50,185,35,1199,188,1619,521,79,521,34,181,56,35,89,40,91,98,0,0,59,33,0,0,0,0,0,0,0,57,6,7,40,42,54,51,102,115,78,58,86,0,0,5532,5128,0.001,0.003,0.19,0.069,0,0,417,100,48,18,62,43,0.055867,0.002247,948
0.331,0.069,0.747,1,0.162056,6.29,0.827027,426,0,610,1275,135,461,45,184,45,1211,187,1211,510,79,510,32,180,32,41,92,41,95,95,0,0,13,13,0,0,0,0,0,0,0,0,6,6,39,39,55,55,96,96,79,56,79,0,0,4706,4707,0.001,0.001,0.048,0.048,0,0,29,0,56,56,58,58,0.055867,0.130195,948
0.331,0.069,0.747,1,0.162056,6.29,0.827027,426,0,610,1275,135,461,45,184,45,1211,187,1211,510,79,510,32,180,32,41,92,41,95,95,0,0,13,13,0,0,0,0,0,0,0,0,6,6,39,39,55,55,96,96,79,56,79,0,0,4706,4707,0.001,0.001,0.048,0.048,0,0,29,0,56,56,58,58,0.055867,0.130195,948
0.331,0.069,0.747,1,0.162056,6.29,0.827027,426,0,610,1275,135,461,45,184,45,1211,187,1211,510,79,510,32,180,32,41,92,41,95,95,0,0,13,13,0,0,0,0,0,0,0,0,6,6,39,39,55,55,96,96,79,56,79,0,0,4706,4707,0.001,0.001,0.048,0.048,0,0,29,0,56,56,58,58,0.055867,0.130195,948
0.354,0.074,0.794,2,0.322388,0.56,0.771429,496,0,0,1015,197,0,57,187,32,1039,170,1617,516,80,517,22,184,57,35,85,44,100,100,0,0,0,32,0,0,0,0,0,0,0,0,6,6,39,42,55,52,94,96,74,64,86,0,0,2758,4450,0.0,0.0,0.0,0.021,0,0,0,0,100,45,38,34,0.055867,0.016728,948
0.354,0.074,0.794,2,0.322388,0.56,0.771429,496,0,0,1015,197,0,57,187,32,1039,170,1617,516,80,517,22,184,57,35,85,44,100,100,0,0,0,32,0,0,0,0,0,0,0,0,6,6,39,42,55,52,94,96,74,64,86,0,0,2758,4450,0.0,0.0,0.0,0.021,0,0,0,0,100,45,38,34,0.055867,0.016728,948
0.354,0.074,0.794,2,0.322388,0.56,0.771429,496,0,0,1015,197,0,57,187,32,1039,170,1617,516,80,517,22,184,57,35,85,44,100,100,0,0,0,32,0,0,0,0,0,0,0,0,6,6,39,42,55,52,94,96,74,64,86,0,0,2758,4450,0.0,0.0,0.0,0.021,0,0,0,0,100,45,38,34,0.055867,0.016728,948
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
