Sample_ID,Sample_Longitude,Sample_Latitude,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Mean_Temp_Deg_C,pH,Water_Depth_cm,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,AI,AI_Mod,DBE,DBE_O,GFE,NOSC,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n_chems,skew_lamO20,skew_lamO2,perc_AminoSugar,perc_Carb,perc_ConHC,perc_Lignin,perc_Lipid,perc_Other,perc_Protein,perc_Tannin,perc_UnsatHC,del_15N_permil,del_13C_permil,NPOC_INC_mg_per_L_as_C,NPOC_Field_mg_per_L_as_C,Percent_Fine_Sand,Percent_Med_Sand,Percent_Coarse_Sand,Percent_Tot_Sand,Percent_Clay,Percent_Silt,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram,C_percent,N_percent,Intermittent_or_Perennial_-1hot-_Intermittent,Intermittent_or_Perennial_-1hot-_Perennial,General_Vegetation_-1hot-_Broadleaf deciduous tree,General_Vegetation_-1hot-_Broadleaf deciduous tree. Crop,General_Vegetation_-1hot-_Broadleaf deciduous tree. Grass,General_Vegetation_-1hot-_Broadleaf deciduous tree. Shrub,General_Vegetation_-1hot-_Broadleaf evergreen tree,General_Vegetation_-1hot-_Broadleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Grass,General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,General_Vegetation_-1hot-_Shrub,General_Vegetation_-1hot-_Shrub. Grass,Hydrogeomorphology_-1hot-_Multi-channel,Hydrogeomorphology_-1hot-_Single-channel meandering,Hydrogeomorphology_-1hot-_Single-channel straight,River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g. valleys),River_Gradient_-1hot-_Relatively steep gradient (e.g. mountainous or hilly terrain),MiniDot_Sediment_-1hot-_Bedrock (primarily),MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),MiniDot_Sediment_-1hot-_Sand,MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),Depositional_Type_-1hot-_Downstream from obstacles,Depositional_Type_-1hot-_Downstream of small tributary,Depositional_Type_-1hot-_Inside bend of a stream,Depositional_Type_-1hot-_Marsh,Depositional_Type_-1hot-_Pool lip,Depositional_Type_-1hot-_Riffle,Depositional_Type_-1hot-_Shallow waters near the shore,Depositional_Type_-1hot-_Upstream of weir barrier deposition,Depositional_Type_-1hot-_run edge
S19S_0009-D,-108.3983,42.9877,,,25.6,8.0,13.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.59,-21.22,24.87,,16.6,48.5,22.1,87.2,12.7,0.1,3730000000.0,87700000.0,3640000000.0,0.6,0.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S19S_0009-M,-108.3983,42.9876,,,25.6,8.0,8.0,1.0,1.0,2.0,0.0799455485431641,0.1647556092986291,7.047795479807336,-0.9929603556872916,76.47492977945275,-0.5675413957673212,76.47492977937513,-146.36169157261418,0.0524225924713549,0.0464736364210084,1619.4830307521304,-3031.594353149593,2699.0,2.065377954264544,1.9746437294407528,0.0863282697295294,0.0366802519451648,0.0570581696924787,0.2686180066691367,0.1081882178584661,0.0174138569840681,0.3290107447202667,0.0485364949981474,0.0481659874027417,-0.77,-23.1,8.79,9.27,13.8,40.6,37.3,91.7,8.3,0.0,,,,0.36,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S19S_0009-U,-108.3982,42.9875,,,25.6,8.0,6.0,1.0,1.0,2.0,0.0768467313750466,0.1700162243081808,7.098991408292865,-1.1202838998879343,75.58024382227829,-0.5361489060399701,75.58024382223822,-146.1306941267637,0.0530324440506215,0.0469492116456766,1566.6385506163615,-2967.398814615754,2677.0,2.036746573426256,1.911342190521935,0.0851699663802764,0.0377288008965259,0.0597683974598431,0.2831527829660067,0.1031004856182293,0.0119536794919686,0.3051923795293239,0.0672394471423235,0.0466940605155024,3.54,-20.6,12.14,11.85,22.1,46.2,18.6,86.9,11.2,1.9,3740000000.0,153000000.0,3590000000.0,0.51,0.11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S19S_0010-D,-81.840062,31.667875,,,30.0,6.7,30.0,1.0,1.0,2.0,0.0779366585410297,0.1633933482614642,6.915526950925181,-1.1118262268704746,77.33647912933186,-0.5977711975172969,77.33647912934981,-146.92017310630905,0.0507942654405411,0.045119950763241,1581.739863234111,-2967.614314046441,2486.0,1.8364822165643675,1.7165752656499134,0.076830249396621,0.0273531777956556,0.0623491552695092,0.2530168946098149,0.1098149637972646,0.0217216411906677,0.3475462590506838,0.0518905872888173,0.0494770716009654,2.46,-29.24,7.1,10.82,3.3,4.8,88.8,96.9,3.1,0.0,1470000000.0,47000000.0,1420000000.0,0.21,0.08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0010-M,-81.839976,31.667835,,,30.0,6.7,30.0,1.0,1.0,2.0,0.0876816239258567,0.1552006772909657,6.538317757009346,-0.9289719626168224,80.58850325989033,-0.7118773073707165,80.58850326000888,-148.5321954073838,0.0480123365697835,0.0426034508675417,1677.328785046729,-3050.0945981683635,1605.0,1.7650644846481358,1.7394080603239783,0.0585669781931464,0.0193146417445482,0.07601246105919,0.205607476635514,0.1881619937694704,0.0355140186915887,0.3426791277258567,0.0392523364485981,0.0348909657320872,-4.5,-27.8,7.58,20.73,5.5,7.2,84.0,96.7,3.3,0.0,2310000000.0,53500000.0,2260000000.0,0.24,0.08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0010-U,-81.8403,31.667905,,,30.0,6.7,30.0,1.0,1.0,2.0,0.0819845539219638,0.1823459567447028,7.282687338501292,-0.7498708010335917,76.60163487090338,-0.5719871884527131,76.60163487092959,-146.5581247900166,0.0504869289702812,0.0447340445477216,1609.2373643410851,-3028.154646345978,1935.0,1.975347243201392,1.8485213050616025,0.0563307493540051,0.0160206718346253,0.0697674418604651,0.2987080103359173,0.1167958656330749,0.020671834625323,0.3224806201550387,0.055813953488372,0.0434108527131782,7.4,-28.57,17.68,15.69,17.5,5.0,64.0,86.5,12.4,1.1,1760000000.0,35000000.0,1720000000.0,0.73,0.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0011-D,-83.437674,33.955686,,,24.0,6.7,100.0,1.0,1.0,1.0,0.0801089293744903,0.2093750748934187,6.955736750145602,-0.8415841584158416,73.1752406712551,-0.451762830576587,73.17524067127285,-144.7686655211431,0.0583454189646254,0.0515956080313108,1388.959813628422,-2690.0786085927275,1717.0,1.932668589160128,1.790907574365836,0.0605707629586488,0.0122306348281887,0.1054164239953407,0.3360512521840419,0.110658124635993,0.0099009900990099,0.2714036109493302,0.0745486313337216,0.0192195690157251,8.9,-28.23,4.67,21.3,28.9,2.4,39.8,71.1,1.3,27.6,303000000.0,67600000.0,235000000.0,2.2,0.21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0011-M,-83.438589,33.957827,,,24.0,6.7,100.0,1.0,1.0,1.0,0.0770946144087759,0.1883238628966512,6.556581986143187,-1.008083140877598,75.35446878688683,-0.5282269749797922,75.35446878684445,-145.7259003659627,0.0572027451337998,0.0507232235172042,1437.0408775981523,-2720.4194991560707,1732.0,1.9238516440325275,1.776772383952838,0.0658198614318706,0.0184757505773672,0.0819861431870669,0.3244803695150115,0.1120092378752886,0.0161662817551963,0.3083140877598152,0.0531177829099307,0.0196304849884526,8.21,-28.54,13.29,14.93,56.1,18.5,3.4,78.0,14.4,7.6,1430000000.0,168000000.0,1260000000.0,0.47,0.08,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0011-U,-83.437673,33.95569,,,24.0,6.7,100.0,2.0,1.0,1.0,0.0802716054212641,0.196806015044209,7.103032517354768,-0.9839240043843624,73.85985520854805,-0.4757843932791378,73.85985520842877,-145.12087017068146,0.0555757806942807,0.0492396037533841,1458.4552064303984,-2811.015122090622,2737.0,1.852202594664068,1.8673433330218017,0.0617464377055169,0.0219218122031421,0.0942637924735111,0.3116550968213372,0.1121666057727438,0.0131530873218852,0.2831567409572524,0.0734380708805261,0.0284983558640847,2.31,-27.91,14.3,21.27,59.5,24.5,1.1,85.1,11.3,3.6,756000000.0,109000000.0,647000000.0,0.63,0.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S19S_0012-D,-72.33027,42.47179,9.63,105.1,18.2,6.5,4.0,3.0,1.0,1.0,0.0799962048045935,0.191700346184105,7.381334305504922,-1.1965001822821728,73.13871972026797,-0.4504813936897557,73.13871972019555,-144.8737445249107,0.0545441183187038,0.0482733361878381,1506.1255559606273,-2920.2446603628086,2743.0,2.352511878515944,2.09975651195211,0.0820269777615749,0.0288005833029529,0.0973386802770689,0.2566532993073277,0.0936930368209989,0.0156762668611009,0.2978490703609187,0.0871308786000729,0.0408312067079839,2.78,-35.65,18.5,11.5,6.3,6.9,83.4,96.6,0.0,3.4,143000000.0,27900000.0,115000000.0,0.41,0.09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
