,target,predicted
0,-2.89,-187.8566257867078
1,-1.3,-90.52932854189874
2,-2.37,-82.67902513088526
3,-74.17,-448.9502773029821
4,-1.38,-125.02564487958561
5,-4.28,-107.72370753516577
6,-7.46,-144.29303618347245
7,-50.32,-538.1489214888295
8,-2.41,-101.27795030895577
9,-10.71,-134.36026607502106
10,-7.5,-106.6498667191486
11,-3.59,-103.09732538299366
12,-14.63,-151.3144163454033
13,-2741.44,-2401.646530565933
14,-2.08,-101.39048577034882
15,-16.99,-164.04541177520247
16,-2.21,-115.11731326638032
17,-2505.5,-2157.925275865601
18,-24.5,-161.64910581136922
19,-0.99,-83.66590897903626
20,-7.65,-89.75349466559875
21,-15.34,-249.41327039467382
22,-42.76,-248.49275460815284
23,-41.92,-613.3727791817939
24,-4.29,-119.75584295106049
25,-5.57,-101.62747285006282
26,-1413.77,-1217.4438735133072
27,-2086.43,-1774.1696095335778
28,-1185.05,-1174.3134926832086
29,-1.25,-84.54259216659068
30,-16.41,-167.32299412636306
31,-1890.34,-1743.4247252673754
32,-1515.51,-1417.2904212370215
33,-19.26,-528.9783707291601
34,-24.54,-124.90419395851406
35,-19.4,-479.7808960632246
36,-23.78,-318.3770082402141
37,-33.5,-217.89225566926257
38,-11.18,-126.03155796190723
39,-1.15,-82.87763948482696
40,-33.33,-177.16719527924425
41,-29.33,-409.7060403047778
42,-3.14,-198.8546179768126
43,-14.12,-151.36307065941367
44,-17.66,-170.19387534413812
45,-2.02,-99.01401064791581
46,-4.6,-94.83584881633784
47,-60.88,-167.81250583600917
48,-79.59,-257.27861854200614
49,-1.4,-81.95937732255746
50,-2738.74,-2676.0348986703298
51,-35.52,-166.65736623649445
52,-0.87,-107.7141790683898
53,-1821.88,-2407.523609090963
54,-1175.43,-1195.0221180418966
55,-14.69,-189.8577252101931
56,-41.22,-250.3325807542808
57,-4.84,-115.24482703468186
58,-2727.43,-2118.279614323924
59,-2785.54,-2441.8242834287294
60,-29.12,-443.5582417539364
61,-52.27,-265.2356261111413
62,-1.67,-90.67475451400887
63,-3.99,-92.76100806546799
64,-4.81,-118.68080593719495
65,-8.6,-148.6458573640992
66,-2610.28,-2059.3855430472886
67,-33.71,-238.47571068053367
68,-4.24,-156.78579991170494
69,-43.06,-191.83238493219267
70,-2907.84,-2895.689555858769
71,-1.29,-84.3126751605215
72,-58.67,-558.3760018718814
73,-8.99,-130.82022559644247
74,-3.73,-96.86703456069876
75,-24.29,-146.7721733280493
76,-3.79,-216.7951562576244
77,-50.95,-234.74261451040326
78,-4.55,-108.55019513174196
79,-1.29,-124.07159827190706
80,-20.06,-141.68531785021145
81,-1011.81,-1033.058114609081
82,-1953.6,-2294.1449932026726
83,-6.06,-96.29210971875041
84,-27.46,-136.51187960572284
85,-12.16,-283.1980849293111
86,-34.83,-537.761511210186
87,-35.0,-290.7588878655928
88,-9.12,-113.15830603882387
89,-64.33,-370.80998200952854
90,-16.54,-151.15490484003152
91,-12.94,-126.73625674387324
92,-3.65,-88.65347273033369
93,-1752.9,-1944.2407527734795
94,-1906.69,-1850.0406858793835
95,-21.22,-171.35526058832696
96,-88.82,-238.50442246685583
97,-35.76,-431.5025264839198
98,-13.09,-123.98818777996348
99,-40.96,-241.8815727066876
100,-1.45,-92.20901363136903
101,-46.77,-151.6680079413361
102,-21.96,-330.6162767656961
103,-9.01,-96.24717024832331
104,-3.47,-101.9708228157097
105,-0.75,-85.46160618685951
106,-7.06,-138.31738948796146
107,-2.74,-101.52992221589142
108,-2260.74,-1585.8312424561898
109,-2.46,-100.61460051855882
110,-1.72,-251.08065644587796
111,-1939.15,-2682.8415597411936
112,-1531.16,-1886.4463420009663
113,-3.28,-94.62726585006364
114,-35.1,-368.4447078450392
115,-73.45,-265.22979755028166
116,-10.78,-109.63838726091822
117,-20.32,-308.40440783826483
118,-3.11,-121.97630754455334
119,-1.09,-82.99641073136749
120,-79.25,-311.30754363383335
121,-29.51,-158.15659083466323
122,-1.55,-84.67293136853216
123,-77.62,-668.7102328575465
124,-3.32,-85.8022558925209
125,-15.66,-153.2988538069322
126,-1671.03,-1585.6491753379541
127,-4.62,-100.21544997255882
128,-37.03,-580.947074058753
129,-5.86,-154.55467821745233
130,-3.07,-123.59475697341873
131,-1575.97,-1243.5527377353005
132,-1806.3,-1799.3386111288273
133,-1739.12,-1782.2765684737383
134,-988.01,-1496.4944535316272
135,-3.09,-282.81215739799103
136,-22.83,-322.6349889518923
137,-2.85,-94.6216628798146
138,-48.64,-160.94855723287597
139,-3.18,-109.7392515556489
140,-22.07,-383.1949424151071
141,-23.85,-311.40071140943866
142,-37.43,-373.9511049212371
143,-82.62,-202.88860925761117
144,-8.0,-118.69625385270774
145,-12.66,-133.74788166317848
146,-17.53,-376.8275471383308
147,-1482.57,-1881.8195789028687
148,-3.21,-260.29445159143734
149,-19.2,-135.63160064246543
150,-18.6,-199.8206189005686
151,-8.26,-148.3045790501459
152,-3.94,-93.53911110710662
153,-15.94,-132.29559594528928
154,-47.08,-202.3378287426076
155,-61.3,-162.39962240725202
156,-4.81,-122.76480575646816
157,-17.98,-181.25907227651945
158,-0.37,-113.51523806220214
159,-19.87,-236.06321113740046
160,-2420.08,-2034.381525344928
161,-2448.32,-2121.7322273701607
162,-3.91,-91.44850759552149
163,-36.16,-167.80121487188916
164,-9.4,-151.99538150106554
165,-97.9,-350.45434154976374
166,-22.89,-150.49789327156407
167,-1918.37,-1904.8686548966584
