,target,predicted
0,-5.57,-138.29459788839634
1,-4.62,-92.91482669983127
2,-4.81,-127.6200780981728
3,-1788.7,-1636.2414824784757
4,-3.97,-177.48711680627824
5,-3.59,-120.96596126754741
6,-24.5,-268.1386774563244
7,-5.17,-84.92876484116998
8,-20.32,-165.31386938819986
9,-14.92,-172.32687501102103
10,-19.87,-176.36984137845084
11,-42.8,-435.5168266084714
12,-79.25,-267.4849509351015
13,-19.26,-481.5547100966361
14,-47.19,-160.19514801809876
15,-18.6,-144.68760895795992
16,-22.89,-157.38612068584533
17,-4.84,-73.93092345405506
18,-9.4,-203.1465436729804
19,-988.01,-1270.0974482246143
20,-41.22,-107.26546314283723
21,-19.2,-112.43204895587107
22,-6.06,-71.2232864278617
23,-110.45,-394.56291583829
24,-2.89,-76.20140829947327
25,-16.41,-90.20337119288354
26,-0.87,-81.90871673578894
27,-7.5,-86.98435927567212
28,-4.55,-80.9087157115122
29,-2741.44,-1642.627095594156
30,-12.94,-111.41263716840797
31,-1.25,-68.32707943960733
32,-16.99,-142.93943613864923
33,-52.27,-246.83254771016712
34,-1.68,-58.399852500247825
35,-5.86,-127.52638798982453
36,-81.84,-380.5317932279295
37,-1175.43,-1323.981721878804
38,-1011.81,-777.9865834488049
39,-29.12,-283.16617157649955
40,-7.06,-124.92069718268411
41,-88.82,-135.34346358307843
42,-36.16,-151.09495152042675
43,-3.21,-138.3271868215079
44,-17.53,-253.01608500099076
45,-8.93,-196.11689058390377
46,-4.29,-174.66705168840133
47,-1482.57,-1561.3031274346476
48,-3.07,-130.35991346363676
49,-1906.69,-1687.915766740933
50,-60.88,-473.0160124065611
51,-97.9,-307.9312877461504
52,-0.75,-54.788908080430005
53,-1939.15,-1996.8512233090842
54,-7.48,-82.32062384972599
55,-35.1,-232.1294521376419
56,-1.77,-52.94134693112996
57,-5.14,-80.29100387278523
58,-2.08,-86.23092710205064
59,-22.07,-110.41872536864565
60,-1806.3,-2068.4738346463687
61,-3.94,-71.1597496090346
62,-48.59,-134.8216936040211
63,-2.74,-74.15183346686679
64,-1.29,-82.4492612142256
65,-2.21,-118.28174848119824
66,-11.12,-335.35774053647776
67,-2.46,-102.27022327038625
68,-8.65,-106.69465578462163
69,-37.43,-175.28121379348448
70,-77.62,-335.3991327840305
71,-15.13,-114.17849402517712
72,-50.32,-536.7442190051095
73,-14.12,-127.23903559753126
74,-33.71,-222.52553506029423
75,-35.52,-155.6900247006863
76,-12.66,-90.09633669047108
77,-2448.32,-2058.206432287879
78,-0.77,-78.31065975194514
79,-8.99,-126.8652763653794
80,-1388.85,-616.3937105107011
81,-14.63,-180.37658459319266
82,-1953.6,-1488.7920123868098
83,-15.66,-118.38522397704047
84,-10.36,-88.53253881027572
85,-14.69,-136.5804477696149
86,-2610.28,-1294.2043008290875
87,-23.78,-215.14098448022526
88,-15.32,-183.08482513124503
89,-33.33,-124.33606256077151
90,-82.62,-142.93514657952235
91,-47.48,-150.6799924493837
92,-11.67,-124.91298044780098
93,-24.29,-119.23152070720674
94,-47.08,-145.73783543852568
95,-1671.03,-918.6080707572258
96,-5.64,-77.68974409161832
97,-40.96,-193.5025499277217
98,-2.41,-91.03401966841116
99,-4.81,-113.54164302858744
100,-5.69,-115.56160908308505
101,-58.67,-310.09565142938345
102,-27.46,-91.04412628294781
103,-33.5,-141.9588142985266
104,-1.09,-74.03473966757666
105,-1.15,-68.89437303772263
106,-19.4,-654.4465957798586
107,-2.37,-77.4353483092208
108,-50.95,-221.2977058244574
109,-38.08,-267.85702992809183
110,-9.01,-115.4269449704329
111,-15.94,-131.3939951088602
112,-26.93,-399.0701591982512
113,-35.76,-232.02450029714998
114,-1841.16,-1978.0495983244728
115,-8.0,-76.56126686935653
116,-1185.05,-974.5761656838885
117,-2727.43,-1050.6689969910485
118,-991.01,-426.1207670855741
119,-21.63,-68.40759340893965
120,-17.66,-150.31077504620256
121,-1918.37,-2096.833527344493
122,-10.64,-146.0073761013308
123,-43.06,-137.34195905089368
124,-10.71,-158.57253405788654
125,-42.76,-174.7113486570346
126,-8.6,-105.30789410259005
127,-1.3,-64.1346355625662
128,-2505.5,-1118.4371742231142
129,-1.72,-97.2721440720707
130,-3.65,-81.49905700826102
131,-3.65,-84.31185277533531
132,-1531.16,-887.4206792215161
133,-5.77,-91.16462098494398
134,-8.26,-139.26504763700544
135,-37.03,-389.833586587329
136,-2.7,-87.38681974063175
137,-115.73,-200.61413258494042
138,-46.77,-139.50408718713422
139,-61.3,-141.77346101259013
140,-22.83,-126.90025986888469
141,-3.09,-107.44394149875434
142,-1.67,-88.86624426141645
143,-1.4,-58.867024916072154
144,-1890.34,-1309.0904185134818
145,-2.02,-86.56167731931146
146,-1.45,-88.7797067422196
147,-2.71,-96.73233454877689
148,-43.22,-238.70982660370908
149,-74.17,-288.1216592557751
150,-3.46,-85.33415568114329
151,-3.99,-57.81983430821799
152,-7.65,-73.00503759829851
153,-9.45,-80.76035965078422
154,-1739.12,-1713.8690297775452
155,-17.98,-98.7534456868544
156,-2260.74,-818.5343850484076
157,-79.59,-137.19424290458278
158,-31.19,-466.0224459570842
159,-1.78,-72.2444720953341
160,-11.18,-126.99899650973843
161,-41.92,-617.2441920747917
162,-1.84,-77.19377374516688
163,-64.33,-516.4339732700404
164,-4.28,-136.77147835577603
165,-2420.08,-1048.3166747297303
166,-1138.3,-762.672729348069
167,-16.54,-125.01749641395222
