Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
SSS001-1,-120.5731,46.0417,-2425.460488262528,423.39515862720725,1320.8113659292242,2.411270364875229,0.673156637700066,0.21476535241720182,0.1445707225276333
SSS001-2,-120.5731,46.0417,-2425.460488262528,423.39515862720725,1320.8113659292242,2.411270364875229,0.673156637700066,0.21476535241720182,0.1445707225276333
SSS001-3,-120.5731,46.0417,-2425.460488262528,423.39515862720725,1320.8113659292242,2.411270364875229,0.673156637700066,0.21476535241720182,0.1445707225276333
SSS002-1,-120.5476,46.0959,-100.31753490963465,141.83357846659072,1259.125080363148,3.143078301113021,0.2255014325225291,0.2799455128908064,0.06312811418513098
SSS002-2,-120.5476,46.0959,-100.31753490963465,141.83357846659072,1259.125080363148,3.143078301113021,0.2255014325225291,0.2799455128908064,0.06312811418513098
SSS002-3,-120.5476,46.0959,-100.31753490963465,141.83357846659072,1259.125080363148,3.143078301113021,0.2255014325225291,0.2799455128908064,0.06312811418513098
SSS003-1,-120.4811,46.2059,-135.03662335476344,139.28711865076627,1258.8407784310525,4.004999136499402,0.22145281200165062,0.3567144786044723,0.07899542436866303
SSS003-2,-120.4811,46.2059,-135.03662335476344,139.28711865076627,1258.8407784310525,4.004999136499402,0.22145281200165062,0.3567144786044723,0.07899542436866303
SSS003-3,-120.4811,46.2059,-135.03662335476344,139.28711865076627,1258.8407784310525,4.004999136499402,0.22145281200165062,0.3567144786044723,0.07899542436866303
SSS004-1,-120.8161,46.6659,-2822.9347421092725,498.5477918862771,1346.7847284601753,2.2075960027091948,0.792641929130913,0.19662462593288632,0.15585292281408716
SSS004-2,-120.8161,46.6659,-2822.9347421092725,498.5477918862771,1346.7847284601753,2.2075960027091948,0.792641929130913,0.19662462593288632,0.15585292281408716
SSS004-3,-120.8161,46.6659,-2822.9347421092725,498.5477918862771,1346.7847284601753,2.2075960027091948,0.792641929130913,0.19662462593288632,0.15585292281408716
SSS005-1,-120.4612,46.5814,-104.44357031000304,141.51601330473838,1259.089347917983,5.184587873729515,0.2249965351654211,0.461777268140185,0.10389828534969522
SSS005-2,-120.4612,46.5814,-104.44357031000304,141.51601330473838,1259.089347917983,5.184587873729515,0.2249965351654211,0.461777268140185,0.10389828534969522
SSS005-3,-120.4612,46.5814,-104.44357031000304,141.51601330473838,1259.089347917983,5.184587873729515,0.2249965351654211,0.461777268140185,0.10389828534969522
SSS006-1,-120.6206,46.6218,-342.6267283483212,130.6776604893444,1257.9172687302746,4.32193660529371,0.20776462074515822,0.3849432447235083,0.07997758724839034
SSS006-2,-120.6206,46.6218,-342.6267283483212,130.6776604893444,1257.9172687302746,4.32193660529371,0.20776462074515822,0.3849432447235083,0.07997758724839034
SSS006-3,-120.6206,46.6218,-342.6267283483212,130.6776604893444,1257.9172687302746,4.32193660529371,0.20776462074515822,0.3849432447235083,0.07997758724839034
SSS007-1,-121.1237,46.6646,-82.82283230889314,143.2236109963009,1259.28241739718,5.777869413264483,0.22771144745757774,0.514619255823072,0.11718469563301322
SSS007-2,-121.1237,46.6646,-82.82283230889314,143.2236109963009,1259.28241739718,5.777869413264483,0.22771144745757774,0.514619255823072,0.11718469563301322
SSS007-3,-121.1237,46.6646,-82.82283230889314,143.2236109963009,1259.28241739718,5.777869413264483,0.22771144745757774,0.514619255823072,0.11718469563301322
SSS008-1,-121.0893,46.6592,-1858.4862542298968,318.89448548450514,1291.1130457443655,5.321839751548084,0.5070108508700543,0.474001922969032,0.24032411827857084
SSS008-2,-121.0893,46.6592,-1858.4862542298968,318.89448548450514,1291.1130457443655,5.321839751548084,0.5070108508700543,0.474001922969032,0.24032411827857084
SSS008-3,-121.0893,46.6592,-1858.4862542298968,318.89448548450514,1291.1130457443655,5.321839751548084,0.5070108508700543,0.474001922969032,0.24032411827857084
SSS009-1,-121.1511,46.6168,-88.65844071788358,142.75218364632414,1259.2288870394686,5.22145418423636,0.2269619243622756,0.4650608510530178,0.10555110570055055
SSS009-2,-121.1511,46.6168,-88.65844071788358,142.75218364632414,1259.2288870394686,5.22145418423636,0.2269619243622756,0.4650608510530178,0.10555110570055055
SSS009-3,-121.1511,46.6168,-88.65844071788358,142.75218364632414,1259.2288870394686,5.22145418423636,0.2269619243622756,0.4650608510530178,0.10555110570055055
SSS010-1,-121.0675,46.8095,-83.99388589533376,143.12839039541873,1259.2715911017958,5.888942901771216,0.22756005607242955,0.5245122720732804,0.11935804204367312
SSS010-2,-121.0675,46.8095,-83.99388589533376,143.12839039541873,1259.2715911017958,5.888942901771216,0.22756005607242955,0.5245122720732804,0.11935804204367312
SSS010-3,-121.0675,46.8095,-83.99388589533376,143.12839039541873,1259.2715911017958,5.888942901771216,0.22756005607242955,0.5245122720732804,0.11935804204367312
SSS011-1,-121.0672,46.8099,-86.41812968122976,142.93225453336197,1259.2493134422805,5.922499588894955,0.22724821935265546,0.5275010757516504,0.11987368017117278
SSS011-2,-121.0672,46.8099,-86.41812968122976,142.93225453336197,1259.2493134422805,5.922499588894955,0.22724821935265546,0.5275010757516504,0.11987368017117278
SSS011-3,-121.0672,46.8099,-86.41812968122976,142.93225453336197,1259.2493134422805,5.922499588894955,0.22724821935265546,0.5275010757516504,0.11987368017117278
SSS012-1,-120.8178,46.7521,-145.24230452428193,138.5940190970632,1258.7642774357485,3.9003052465954964,0.22035085191624262,0.34738967600718934,0.07654761105509168
SSS012-2,-120.8178,46.7521,-145.24230452428193,138.5940190970632,1258.7642774357485,3.9003052465954964,0.22035085191624262,0.34738967600718934,0.07654761105509168
SSS012-3,-120.8178,46.7521,-145.24230452428193,138.5940190970632,1258.7642774357485,3.9003052465954964,0.22035085191624262,0.34738967600718934,0.07654761105509168
SSS013-1,-119.474,46.2554,-102.20708747961694,141.6876552762431,1259.108651259511,5.633938809915134,0.22526942900955707,0.5017997449120494,0.11304014201347876
SSS013-2,-119.474,46.2554,-102.20708747961694,141.6876552762431,1259.108651259511,5.633938809915134,0.22526942900955707,0.5017997449120494,0.11304014201347876
SSS013-3,-119.474,46.2554,-102.20708747961694,141.6876552762431,1259.108651259511,5.633938809915134,0.22526942900955707,0.5017997449120494,0.11304014201347876
SSS014-1,-119.9999,46.232,-2604.987692988424,457.2051748760625,1332.0344499870548,6.544075983996864,0.7269112364358141,0.5828632099581076,0.4236898166235955
SSS014-2,-119.9999,46.232,-2604.987692988424,457.2051748760625,1332.0344499870548,6.544075983996864,0.7269112364358141,0.5828632099581076,0.4236898166235955
SSS014-3,-119.9999,46.232,-2604.987692988424,457.2051748760625,1332.0344499870548,6.544075983996864,0.7269112364358141,0.5828632099581076,0.4236898166235955
