,target,predicted
0,-9.12,-131.22590106387054
1,-47.08,-139.17485201989587
2,-60.88,-277.9877336240071
3,-18.6,-100.02063715093314
4,-27.46,-106.95026564449667
5,-1.55,-54.9135474752169
6,-74.17,-334.16507925108664
7,-1.78,-54.94614424061703
8,-1185.05,-1551.8679023079949
9,-1788.7,-2432.693603337534
10,-2.71,-61.24282732444799
11,-29.12,-190.24683991323406
12,-3.21,-80.08467248178721
13,-4.81,-80.65368350829655
14,-35.76,-240.35748044344874
15,-29.51,-137.27968063603936
16,-2448.32,-3158.6963682978917
17,-1.25,-44.5618063903583
18,-1694.52,-1833.6120786354013
19,-3.46,-53.03920113293569
20,-5.14,-73.03239483031959
21,-3.97,-104.35985351950217
22,-15.34,-130.66675531410763
23,-110.45,-607.6088467209838
24,-1.29,-69.00766504231629
25,-8.6,-79.63739881665146
26,-991.01,-1104.4123648220086
27,-3.65,-52.909857312286206
28,-73.45,-254.7701355289893
29,-21.22,-124.07067500059732
30,-7.5,-66.58019708077912
31,-17.53,-151.47507331569676
32,-3.59,-71.5818738373333
33,-6.06,-58.394717275737484
34,-42.8,-253.22321028560864
35,-2907.84,-4049.125825375889
36,-5.69,-91.35395312167446
37,-1739.12,-2262.895674750415
38,-2086.43,-2322.7784010463356
39,-2.89,-64.79083636383058
40,-22.07,-95.93220466562731
41,-50.95,-205.41206916403956
42,-1671.03,-2073.7904255445465
43,-2675.86,-4061.8438285112725
44,-19.2,-108.97338583637384
45,-19.87,-189.62381494794494
46,-1918.37,-2943.655803504877
47,-88.82,-162.73902551333722
48,-240.66,-511.9905671900834
49,-47.48,-144.24622558363373
50,-42.76,-186.78518265900442
51,-37.03,-399.4632441895183
52,-33.33,-117.0132571063164
53,-1752.9,-2346.188749188781
54,-1011.81,-1232.1041269931252
55,-2.85,-75.04350007896551
56,-19.4,-285.2792168356139
57,-22.89,-87.58773759820798
58,-10.36,-80.59300988244874
59,-29.33,-336.6055181353588
60,-3.28,-65.02347954441763
61,-8.65,-85.62886466358123
62,-77.62,-404.2271129837249
63,-1906.69,-2653.921220729435
64,-988.01,-1701.0950824299598
65,-0.77,-51.100700462030126
66,-11.12,-344.08049353079036
67,-1515.51,-1952.7068184390653
68,-24.54,-149.87484918975835
69,-4.6,-57.99722453056074
70,-48.59,-171.8678690061015
71,-1138.3,-1394.6367394369004
72,-1.68,-56.149917800365166
73,-3.99,-50.64589868532241
74,-21.63,-87.67445218702676
75,-7.65,-65.25445783963386
76,-15.94,-104.25076706424986
77,-2.71,-74.04628185316365
78,-1.77,-49.84037213461001
79,-1.45,-61.434454034224785
80,-1388.85,-1564.1548008712507
81,-5.86,-94.48148682890529
82,-12.94,-86.12204927328571
83,-34.83,-388.7388980220125
84,-61.3,-124.64237947987048
85,-11.18,-95.94468283994927
86,-81.84,-426.94897801856723
87,-33.5,-112.90177708755459
88,-13.09,-169.65677035128323
89,-9.01,-85.00370504826728
90,-7.48,-67.14560027182608
91,-21.96,-102.21985966501795
92,-31.19,-300.11549471393954
93,-0.87,-52.78515130517472
94,-11.52,-75.25875967933612
95,-2.46,-61.21272415061912
96,-12.66,-80.08658612055754
97,-52.27,-304.07447635662487
98,-1.84,-54.238596902343495
99,-37.43,-138.215066033824
100,-2741.44,-3264.5417333311198
101,-1806.3,-2614.85900368708
102,-43.06,-147.06430253839602
103,-26.93,-217.1883482038428
104,-0.37,-61.203040359833764
105,-2505.5,-2717.152252888556
106,-3.14,-95.4754051658287
107,-4.28,-86.44233164418935
108,-115.73,-288.33121628486316
109,-16.41,-82.61526215804932
110,-1.29,-55.75778228889821
111,-3.91,-49.03701260931346
112,-17.98,-90.2408004384092
113,-5.57,-72.64308610548089
114,-3.07,-99.01136237704758
115,-4.55,-65.73069087690577
116,-1531.16,-1792.8267590825617
117,-2727.43,-2792.810049664412
118,-47.16,-252.9884986360247
119,-23.78,-177.3332454036988
120,-8.99,-93.48003846186887
121,-82.62,-183.3168721918907
122,-15.32,-107.40707105962642
123,-82.36,-402.4703638737226
124,-3.18,-121.91089874035254
125,-3.65,-60.923350239950864
126,-3.47,-83.86602482290816
127,-4.62,-61.63802002892693
128,-1.4,-50.492720473730365
129,-41.92,-419.01138041110545
130,-1175.43,-1571.0242422484125
131,-2738.74,-3147.480556115012
132,-41.22,-140.803390329893
133,-46.77,-114.87603576599992
134,-2785.54,-3254.7108371729255
135,-17.66,-150.62651491164866
136,-1.67,-64.00709836694098
137,-22.83,-93.7308701796363
138,-2.74,-52.2911087246832
139,-24.5,-152.00848513884097
140,-5.0,-52.7594680280103
141,-8.93,-98.76604694530569
142,-14.63,-104.81525492127983
143,-2.02,-62.39883966544153
144,-1482.57,-2229.4466807646104
145,-16.74,-97.35586514318156
146,-4.81,-94.70057135484979
147,-15.66,-99.7183466863406
148,-3.09,-76.98630146130061
149,-12.16,-146.89258914618705
150,-7.46,-76.98803498590107
151,-3.11,-66.72034905450856
152,-9.4,-98.88697009631551
153,-14.12,-91.05692418729501
154,-10.71,-121.86653910747026
155,-14.69,-97.61599471677494
156,-4.29,-79.63681410571428
157,-1821.88,-2190.5160097510525
158,-79.25,-338.8226496689534
159,-3.79,-128.75080995498746
160,-5.77,-66.61031454344734
161,-40.96,-225.83855510248196
162,-8.0,-71.46248484822976
163,-4.24,-106.7241414303524
164,-64.33,-387.3991953340646
165,-0.75,-45.079144429395576
166,-4.84,-64.3191296161951
167,-38.08,-249.62649901343457
