Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
S19S_0006-D,-76.717163,39.311369,74.36586859808999,243.6167988070952,1288.0273379414643,6.067764316101409,0.19312710924142745,0.5389047377320659,0.10407711415470351
S19S_0006-M,-76.717316,39.31162,39.35648323566097,230.51833374832552,1285.6142426162148,4.865851656050096,0.18274330687358203,0.43215760763622096,0.07897391031001899
S19S_0006-U,-76.717476,39.311813,29.447732274569397,226.93940927466727,1284.977343810191,5.336179988682828,0.17990611608388482,0.4739295278264655,0.08526282064872882
S19S_0008-M,-119.028281,36.961369,-132.13711137291807,179.74444488183403,1277.4871209094194,5.8201981002278895,0.14249232898639783,0.5169172972702453,0.07365674958139139
S19S_0009-U,-108.3982,42.9875,-35.58533146725466,205.12470063120853,1281.3045779332103,5.135154690746876,0.16261251547881658,0.4560755902280306,0.07416359897546604
S19S_0010-D,-81.840062,31.667875,-38.75448943492666,204.1454628744149,1281.1481759093165,5.323709066807605,0.16183622518128515,0.47282193060740246,0.07651971643242957
S19S_0010-M,-81.839976,31.667835,-19.305478044502284,210.28706913110383,1282.1411506021122,5.859587731288075,0.1667049808182583,0.5204156630092578,0.08675588311947949
S19S_0010-U,-81.8403,31.667905,-101.06566277705772,186.8167972873592,1278.5013861440532,5.042086869607178,0.148098933220194,0.4478098292113258,0.06632015799171462
S19S_0011-D,-83.437674,33.955686,-275.7829349262322,164.68195167654662,1275.4549869876066,6.719132451745749,0.1305515441761958,0.5967555961404846,0.07790736457192653
S19S_0011-M,-83.438589,33.957827,-259.8886833860322,164.75513256880953,1275.4644378936343,6.139916940780143,0.13060955829609086,0.5453129285011095,0.07122308072467769
S19S_0011-U,-83.437673,33.95569,-123.31530330156647,181.63412299242543,1277.754371254032,6.26226497498329,0.14399037047073857,0.5561791935452738,0.08008444812670058
S19S_0012-D,-72.33027,42.47179,8.791496195397915,219.68043014599968,1283.7152215396882,5.465050068799947,0.17415156359806255,0.48537504434772155,0.08452882290463466
S19S_0012-M,-72.33038,42.47157,-40.45800043891924,203.62266944647905,1281.0649749860734,7.8630229681762165,0.16142178092308104,0.6983495254095158,0.11272882409839248
S19S_0014-D,-77.9808,39.0941,-1468.329807378878,644.6811614995296,1419.6052545042023,6.186650347430441,0.5110707049450969,0.5494635271305544,0.28081471215223175
S19S_0014-M,-77.9812,39.0942,-1077.0145163875302,450.799974301478,1342.715865495665,5.567295483770359,0.35737147975535505,0.49445590768856057,0.17670443940443814
S19S_0014-U,-77.9815,39.0944,-209.34073826771876,167.72155428642375,1275.851009481833,7.228986554750201,0.13296118779750085,0.6420379731985587,0.08536613152758038
S19S_0015-D,-84.439009,31.184396,-100.3337481438928,186.99702509977595,1278.5277337702632,5.896813755168068,0.1482418087385794,0.5237218693137151,0.07763747718301503
S19S_0015-U,-84.437254,31.185895,-286.21013377345804,164.8595205594064,1275.477926168319,5.937763347273801,0.1306923118293538,0.5273587820289002,0.06892173838686926
S19S_0017-D,-96.44355,38.94668,-221.54827173267316,166.63004437285073,1275.7079800296217,3.3160530752015642,0.1320958937974609,0.29451320448538715,0.03890398498165158
S19S_0017-M,-96.44379,38.94667,-90.4019456438307,189.5013952210236,1278.89642169109,3.229669415300804,0.15022714704183057,0.28684109311817013,0.04309131907350276
S19S_0017-U,-96.44389,38.94684,-167.53280349350558,173.18197081974068,1276.5803044229408,3.1168322202964944,0.13728993058329136,0.2768195273795573,0.038004533698038946
S19S_0018-D,-83.504941,35.6922935,-32.47830739661133,206.0930358565083,1281.4599556958894,2.507894383059379,0.16338016279934012,0.2227370897013839,0.03639082197686332
S19S_0018-M,-83.5044488,35.692083,-17.836302591902154,210.76348112676556,1282.2193742102916,2.337490728459455,0.16708265621659132,0.20760279443103624,0.034686826331524506
S19S_0018-U,-83.5041467,35.6918387,-75.21811320677651,193.53439559202155,1279.5002309107754,1.6628225325042387,0.15342430629781925,0.14768255556602108,0.02265809364000593
S19S_0019-D,-84.278999,35.9563807,-33.63653962843381,205.73110829713173,1281.4017978544923,2.706551912325375,0.16309324488711294,0.24038073538872612,0.0392044741428978
S19S_0019-M,-84.2789099,35.956601,-96.15712960034652,188.03694115425495,1278.6802453554242,3.88950158555785,0.1490662017296978,0.34544367952976973,0.05149397721903374
S19S_0019-U,-84.2786976,35.9572803,-49.06715588454004,201.01960469324789,1280.6538018116328,3.2176798589459374,0.1593582024940834,0.2857762480803038,0.045540789209580455
S19S_0020-D,-88.15755,31.85294,-435.11312788455575,185.57940288756643,1278.3211620714353,6.4237725969390835,0.14711798935838447,0.5705233931742631,0.08393425448572064
S19S_0020-M,-88.1575,31.85302,-1219.4891663996548,520.5278716125222,1367.704114108392,7.525047543645067,0.4126482394332795,0.6683324469555083,0.27578620759232614
S19S_0020-U,-88.15748,31.8531,-169.34704502694842,172.8917748370019,1276.54096856695,5.4532457383190955,0.13705987784664,0.4843266500313825,0.06638175149117365
S19S_0021-D,-87.79835,32.54069,-2182.1056525688764,1008.2941661052984,1617.5049935086872,6.158701776064802,0.7993247531304503,0.546981292037504,0.43721568622485263
S19S_0021-M,-87.79828,32.54082,-232.125456517206,165.87535523743372,1275.6096237088773,6.037962282062648,0.13149761431996718,0.53625788849718,0.07051663299764215
S19S_0021-U,-87.79821,32.54108,-223.71279942504228,166.46106959908485,1275.685919933128,6.414703125475206,0.1319619391204767,0.5697178936713178,0.07518107800050065
S19S_0022-D,-87.40811,32.96161,-118.53841716856084,182.69735276941597,1277.905943852094,5.261768899724392,0.14483324540504136,0.46732075294819736,0.06768358129461498
S19S_0022-M,-87.40821,32.96156,-160.39916510919164,174.3679225172592,1276.741732311803,6.111727070186802,0.13823009326568125,0.5428092625662787,0.07503257499001237
S19S_0022-U,-87.40828,32.96142,-145.2726136477496,177.11400331541338,1277.119668940218,5.722248061568986,0.1404070476008823,0.5082179251218826,0.0713573784042098
S19S_0023-D,-102.44896,39.75841,-17.49930636704544,210.87299857287232,1282.2373805776658,7.442743091641406,0.1671694761234355,0.6610226279166382,0.11050280641456105
S19S_0023-M,-102.44896,39.75861,-19.25447459188578,210.30357961453424,1282.143858629852,5.873509540059926,0.16671806949667747,0.5216521198513672,0.08696883437046936
S19S_0023-U,-102.44917,39.75854,-54.490341484446354,199.41408607262525,1280.402771141854,7.101726314978094,0.15808542831942698,0.6307354336526306,0.09971008118521564
S19S_0024-D,-96.6227,34.44205,-1851.326867690449,838.9338232065099,1517.7204084888135,6.284327892642818,0.6650644163870906,0.5581386979418703,0.3711981874097606
S19S_0024-M,-96.62255,34.44223,-1706.8537922496917,765.3525033844807,1478.3199021390635,5.721883670959492,0.6067328577220829,0.5081855619951011,0.3083328782823904
S19S_0025-D,-97.78275,33.37853,-89.30113522984988,189.7856031894101,1278.9385652960534,4.631484726923015,0.15045245278275907,0.41134245366935607,0.061887481088233054
S19S_0025-M,-97.78307,33.37834,-334.0799431324702,167.9377988295712,1275.879454689698,4.350951430896439,0.1331326155632042,0.3864270623580718,0.0514460455361355
